theta(degree), b, t(s), R(m)
15,1.5839999999999363,45.900795265255965
20,2.0939999999998804,59.03149043776981
25,2.586999999999826,70.3385473519133
30,3.060999999999774,79.5271128295263
35,3.5109999999997243,86.28128482496055
40,3.9349999999996776,90.43154651019775
45,4.32899999999978,91.83195767269348
50,4.689999999999901,90.44021668289648
55,5.0150000000000095,86.29457484901386
60,5.302000000000105,79.53000000000226
65,5.5480000000001874,70.34058348411925
70,5.753000000000256,59.02925653658275
75,5.913000000000309,45.9119104107409
80,6.029000000000348,31.407745894621137
85,6.0990000000003715,15.946886250519292
90,6.122000000000379,0.0
